id,document,label,label2
1,몇년간 잘만 쓰고 있었는데요,0,0
2,최근 업뎃이후로 너무 불편해서 리뷰를 다 써보러 와요 ,0,0
3,업뎃후 적응이야 늘 하는거지만 적당히 바껴야되는데 ,0,3
4,대체 좋아요 랑 댓글 위치까진ㅋㅋㅋㅋㅋ왜 바꾸는건짘ㅋㅋㅋㅠㅠ너무 자주 바뀌는 설정들이 번거로운게 늘 해맵니다 ,0,0
5,군대 전역전까지 메롱쓰다가 년 전역후부터 지니뮤직으로 갈아탄후 계속 사용하고있는 유저인데요 지니는 계열 할인으로 아마 사용하는 사람들이 많을겁니다 ㅋㅋ,0,3
6,저처럼 근데 이렇게 오래 사용하면서 제가 갈아타지 않은 이유는 고객센터에 문의하면 최대한으로 고객의 피드백을 받아 업데이트를 하려고 한다는 점입니다,0,0
7,이번에 안드로이드에서 로 바꾼 후 음질설정관련에서 이슈가 있었는데 문의하자마자 심각한 오류로 인지하셨는지 바로 업데이트 해주셨습니다,0,0
8,딱 하나 아직 어려운 업데이트셨는지 옛날에 버전 지니뮤직에서도 곡차트정보 뜨게해주길 바랬는데 그건 어려우셨나봐욬ㅋㅋ아쉽습니당 그래도 고생많으십니다라고 말하고 싶었습니당,0,0
9,일부러 보시라고 점 드리는데 음질설정에서 데이터켠 상태에서 옵션이 에서 로 계속 내려가고 설정이 계속 초기화됩니다,0,1
10,다른 설정도 그래요흔들면 음성인식되는거 특히 불편합니다,0,2
11,저 폰기종이 아이폰인데 아직은 최신이고 이건 걍 시스템 문제라고 생각합니다,0,0
12,제발 이걸 보시면 반성좀 하세요,0,0
13,ㅋㅋㅋㅋㅋ관계자님ㅜㅜ이러다 또 나중에 바뀌면 진짜 답답해서 갈아타는거 말곤 답없어용ㅠㅠ,0,0
14,이번에 가 출시되면서 단축어 기능이 활성화 되었는데요,0,3
15,벅스나 유튜브 뮤직애플 뮤직 등에는 각각의 앱 자체에서 자동화 기능을 업데이트를 통해 넣었습니다,0,3
16,지니도 자동화 기능이 빠른 시일 내에 추가되었으면 합니다,0,3
17,중복곡을 또 재생목록에 추가하면 원래는 중복곡이라며 추가가 안됬는데이젠 맨 위로 이동되서 순서가 엉망이 되네요 ㅠㅠㅠ,0,1
18,그렇다고 중복곡 삭제 기능을 사용했더니 원래 순서 말고 최근 순서대로 남고 원래대로 돌려주세요ㅠㅠ,0,1
19,잘 쓰고있는데요지니 앱 화면 나가면 가사 같은게 떴으면 좋겠어요,0,3
20,모르는 가사 있으면 할 일 있다가 다시 앱 들어가야하는게 조금 귀찮아요,0,3
21,그래도 좋은 앱 만들어주셔서 감사합니다,1,-1
22,제가 위주로 음악을 듣는데 제가원하는 음악이 안뜹니다ㅠ,0,3
23,멜론뮤직에서는 뜨는데 지니뮤직은 안떠서 조금 아쉽습니다,0,3
24,업데이트해주시면 감사하겠습니다ㅎㅎ,0,0
25,너무 좋네요,1,-1
26,이번 업데이트 아주 맘에 들어요 ㅠ,1,-1
27,그동안 플레이리스트 편집하려면 너무 귀찮았고 새 곡 추가해도 앨범 다시 열어줘야 했는데 그런 부분이 다 해결됐네요,1,-1
28,진짜 최고 편해요 ㅠㅠ,1,-1
29,음악들으면서 기분도 좋은데 딱 불편하던 부분이 귀신같이 고쳐져서 더 기분 좋아졌답니다,1,-1
30,늘 고마워요 지니뮤직,1,-1
31,제거 요즘 제일 많이 쓰는 앱이에요,1,-1
32,이렇게 좋은 어플은 처음 봤어요,1,-1
33,재가 게임을 못해서 그나마 이 어플로 살고 있어여,1,-1
34,친구들은 다 멜론파 지만 저는 지니파 입니다,1,-1
35,그렇지만 좀 더 있으면 좋은 것 같은 기능이 있어요,0,3
36,배속 노래 연습 하라고 반복기능이 있는 것은 좋지만 배속도 있으면 좋겠습니다,0,3
37,자동 노래 재생 곡 한곡을 듣고 바로 다음 곡으로않넘어 가요 그래서 조금 불편합니다,0,3
38,이 기능 들이 있으면 좋겠고 제가 모르는 기능 일 수도 있지만 그래도 앱 정말 좋아요,0,3
39,제 최애 어플입니다,1,-1
40,저만 그런가 싶어서 후기 찾아봤는데다른 작업 하려고 지니에서 노래 틀고 백그라운드로 나가면 노래 끊기는 현상이 있습니다,0,1
41,그리고 속도가 많이 느려졌어요ㅠ,0,2
42,그게 임시파일 지우면 된다고 답글 달려서 해봤는데 잘 모르겠어요,0,0
43,임시파일 얼마나 쌓였는지 확인도 가능했으면 좋겠습니다,0,3
