id	document	id
1	요즘 뮤직 기능 말고도 오디오도 잘 듣고 있는데요	1
2	오디오는 배나 배로 빨리 돌릴 수 있으면 좋겠어요	0
3	그리고 오디오의 내용을 짧게라도 텍스트로 정리된 것을 함께 볼 수 있다면 오디오의 내용을 훨씬 잘 기억하고 이해할 수 있을 것 같습니다	0
4	또 오디오로의 접근성이 좋아 보이진 않았어요	0
5	음악만 들었던 사람들에게는 첫 화면에서 다른 오디오 컨텐츠가 있다는 걸 알기 힘들었습니다	0
6	지니 정말 오랫동안 사용하고 있는 만큼 더 좋은 컨텐츠가 되었으면 좋겠어요	1
7	몇 년 째 잘 쓰고 있습니다	1
8	다만 몇 가지 수정 되었음 하는 사항이 있어서 리뷰 남겨요	0
9	안드로이드 기준 바탕화면 위젯 배치 시 기본 재생목록 곡은 제목 가수 이렇게 뜨지만 제가 직접 만든 플레이리스트는 플레이리스트 제목 가수 이렇게 뜨는 게 좀 거슬려요 글자가 길다보니 제목과 가수가 짤리는 경우도 있구요	0
10	플레이스트 부분을 그냥 없애주셨으면 좋겠어요	0
11	잠금화면 팝업에서 다른 플레이리스트로 변경하지 못 하는 게 아쉬워요 플레이리스트를 바꾸려면 앱까지 굳이 들어가야하는 게 생각보다 번거로워요 잠금화면 팝업에서도 다른 플리로 변경하는 기능이 생겼으면 좋겠어요	0
12	어플 자체의 반응이 느려요	0
13	특히 예를 들어 곡을 듣던 도중 곡으로 넘기면 더 심한 거 같아요	0
14	가능하시면 빨리 수정되었으면 좋겠어요ㅜㅜ	0
15	지니 잘 쓰고 있습니다	1
16	수고하세요	0
17	인터페스 적으로 불편한건 있지만 앱 속도가 너무 느린건 사실입니다	0
18	재생목록 탭을 여는데 초 곡에서 플레이리스트로 넘기는데 초 플레이리스트 변경을 누르면 초 곡을 재생하는데 초 정도 걸립니다	0
19	이거 생각보다 짜증납니다	0
20	그리고 음악이 계속 정지됩니다	0
21	백그라운드 재생을 해두고 웹툰을 보는데 한곡 사이에 번이 끊기고 앱 중지가 번 정도 되는 수준인데 돈내고 사용하기엔 좀 아까운 느낌이 드는 것 같습니다	0
22	이번 업데이트후 플래이리스트 재생시 몇몇곡을 제외한 대부분의 곡이 배속으로 폭주하고 있습니다	0
23	재생중 문제가 발생하여 재시도 중입니다	0
24	라는 메시지가 뜨는 곡은 정상속도로 재생됩니다	0
25	제발 휴대폰 데이터를 보내라는 뻔한 답변하지 말고 빠른 조처 바랍니다	0
26	마음에 드는 부분들도 있지만 가끔 재생 상태인데 음악이 재생되지 않고 분 초에서 계속 정지상태인 경우가 있어요	0
27	일시정지 눌렀다 다시 재생하면 재생 잘 됩니다	0
28	버그인 듯 합니다	0
29	그리고 태블릿과 스마트폰에서 동시에 사용하고 싶은데 동시 사용 기기 대수가 대밖에 없는게 아쉽네요	0
30	방금 업데이트하고 나서 음질을 로 변경해서 들어봤는데 몇몇 노래들이 빠른 배속 설정 적용된것처럼 노래가 씹힌채로 재생되요 에이핑크 네가 손짓해주면 다시 로 변경하면 정상 재생되구요	0
31	빠른 해결 부탁이요	1
32	간헐적으로 발생하는 이슈들은 이해가 잘 되는데 도대체 왜 잘 되다가 네트워크 이상이라는 이슈는 너무 많이 발생이 되네요	0
33	진짜 오랜 기간 사용했으니까 쓰는 거지만 이럴 때마다 진짜 사용하기 싫어져요	0
34	검증이 잘 이루어지지 않고 앱을 만드시는 건가요 오랜 사용자로써 안타까워요	0
35	가끔 분명히 핸드폰의 다른 앱들은 다 잘되는데 지니뮤직만 네트워크에 연결이 안되어 있다며 네크워크 연결상태 확인하라고 뜨면서 실행이 안되네요	0
36	꽤 자주 이런일이 있습니다 오늘도 시부터 시분 련재까지도 계속 그상태 핸드폰을 재부팅해도 안되고 지니뮤직앱을 삭제했다가 다시 깔아도 여전히 지니뮤직 앱만 네크워크에 연결이 안되네요처음엔 내 핸드폰문제인가 했는데 다른앱들은 잘되는거 보면 지니뮤직앱 문제인거 같습니다	0
37	개선바랍니다	0
38	재생목록 및 보관함음악등이 한개씩밖에 등록이 안되며 이동시 기존들었던 내역이 기록되지 않아 불편합니다	0
39	예를들면 아이들 동요듣다가 어른 음악을 들고 아이들 동요를 다시 들으려면 이어듣기가 되지않아요	0
